id,stripe_subscription_id,user_id,plan_id,start_date,end_date,cancel_mode,status,created_date,updated_date,created_by,updated_by
68c679d7-9509-4a48-80bc-67ac93cd1a41,sub_1O9RmOCZiT41qxc15RnesFJ7,476dee15-d552-4120-b525-30cb64f97eee,02,2023-11-06 06:48:57,NULL,NULL,INCOMPLETE_EXPIRED,2023-11-06 06:48:57,2023-11-06 12:20:33,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
6acb1fad-2595-4b02-b307-75c5991b4257,sub_1O7wu6CZiT41qxc1MslT6Jaq,61703f25-0098-4ed7-bc9f-e8f65e8953f8,03,2023-11-02 09:09:30,2023-11-02 09:13:07,IMMEDIATE,CANCELED,2023-11-02 09:09:32,2023-11-02 09:13:07,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
6de565a6-3314-4fe9-9c5f-33d064b9945a,sub_1P2ADBCZiT41qxc1HRruNJPr,6ab2c03a-77b4-43d6-ae0f-c8d5eb3b2874,03,2024-04-05 10:41:34,2024-04-19 10:43:15,IMMEDIATE,CANCELED,2024-04-05 10:41:34,2024-04-19 10:43:15,6ab2c03a-77b4-43d6-ae0f-c8d5eb3b2874,6ab2c03a-77b4-43d6-ae0f-c8d5eb3b2874
726ca00d-ac02-47ac-b212-19cdfc42bce1,sub_1PZBVVCZiT41qxc18PZ6aZ2l,5876e98e-8250-476a-afae-d74ea440cc67,03,2024-07-05 12:44:58,2024-07-19 12:47:38,IMMEDIATE,CANCELED,2024-07-05 12:44:58,2024-07-19 12:47:38,5876e98e-8250-476a-afae-d74ea440cc67,5876e98e-8250-476a-afae-d74ea440cc67
78e5fe05-dbdb-448d-a633-1e93df80fac8,sub_1PWbVKCZiT41qxc1EmPLGyxJ,8435d1c9-489f-42fb-b57c-91c347b8d456,03,2024-06-28 04:23:09,2024-07-12 09:57:50,IMMEDIATE,CANCELED,2024-06-28 04:23:09,2024-07-12 09:57:50,8435d1c9-489f-42fb-b57c-91c347b8d456,8435d1c9-489f-42fb-b57c-91c347b8d456
809ab27e-ab49-4bf4-aa94-2059d3db9e70,sub_1O9Ql6CZiT41qxc1WkmIss7z,476dee15-d552-4120-b525-30cb64f97eee,03,2023-11-06 10:33:17,2023-11-06 11:22:34,IMMEDIATE,CANCELED,2023-11-06 11:14:22,2023-11-06 11:22:34,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
81997543-4648-4dd0-a3a8-1ca794dcc083,sub_1O7xHSCZiT41qxc1OOuthLJJ,61703f25-0098-4ed7-bc9f-e8f65e8953f8,01,2023-11-02 09:33:38,2023-11-02 09:59:59,IMMEDIATE,CANCELED,2023-11-02 09:33:39,2023-11-02 09:59:59,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
851ecb4a-6c07-426e-b014-473630fc0bd0,sub_1O7E6cCZiT41qxc1UcgNbpNh,61703f25-0098-4ed7-bc9f-e8f65e8953f8,01,2023-10-31 09:19:26,2024-01-29 09:40:20,IMMEDIATE,CANCELED,2023-10-31 09:19:27,2024-01-29 09:40:20,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
8af40e9d-8599-402a-8093-e922b95749cc,sub_1Paz0JCZiT41qxc1c7FNGMzA,6984a464-6b5f-491d-8806-fd46818a7fa0,03,2024-07-10 11:48:13,2024-07-24 11:49:47,IMMEDIATE,CANCELED,2024-07-10 11:48:13,2024-07-24 11:49:47,6984a464-6b5f-491d-8806-fd46818a7fa0,6984a464-6b5f-491d-8806-fd46818a7fa0
8bf3792c-c0ca-42d1-bc20-37745e87a30c,sub_1PWbkFCZiT41qxc18PNYxGs3,c037a150-3e76-4449-9244-233707feb293,03,2024-06-28 04:38:34,2024-07-12 10:11:12,IMMEDIATE,CANCELED,2024-06-28 04:38:34,2024-07-12 10:11:12,c037a150-3e76-4449-9244-233707feb293,c037a150-3e76-4449-9244-233707feb293
a1ab19c0-36da-4ce8-8b9f-6b84f0fecae3,sub_1PVYViCZiT41qxc1gmuXUz6p,61703f25-0098-4ed7-bc9f-e8f65e8953f8,01,2024-06-25 12:30:13,NULL,NULL,INCOMPLETE_EXPIRED,2024-06-25 12:30:13,2024-06-26 11:31:10,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
a373e4f6-bb13-4adf-8194-a03fd9c562ae,sub_1O9ShFCZiT41qxc1Fh3PpXID,56f821eb-cacf-4bd5-b5a1-0745f9603790,01,2023-11-06 13:18:30,NULL,NULL,INCOMPLETE_EXPIRED,2023-11-06 13:18:30,2023-11-06 13:19:35,56f821eb-cacf-4bd5-b5a1-0745f9603790,56f821eb-cacf-4bd5-b5a1-0745f9603790
a73ae748-0d85-4f17-b0fb-877db488e883,sub_1O9PuECZiT41qxc1orbjLwyf,476dee15-d552-4120-b525-30cb64f97eee,01,2023-11-06 10:19:42,2023-11-06 10:31:33,IMMEDIATE,CANCELED,2023-11-06 10:19:44,2023-11-06 10:31:33,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
adb6e152-ad13-4023-b187-ec7301bc722c,sub_1O7xGDCZiT41qxc1ZLitLxgw,61703f25-0098-4ed7-bc9f-e8f65e8953f8,01,NULL,NULL,NULL,INCOMPLETE_EXPIRED,2023-11-02 09:32:22,2023-11-03 08:48:53,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
