id,worker_id,job_detail_id,added_by,status,created_date,updated_date,created_by,updated_by
06c4a0eb-54a7-4742-a126-98b4af74b0a0,9e11456c-f0f6-48c7-9cbf-6f4447379727,0bd75779-6aef-4652-b7a0-5e85c11b5c5f,9e11456c-f0f6-48c7-9cbf-6f4447379727,HIRED,2024-06-19 05:52:43,2024-06-20 10:10:40,9e11456c-f0f6-48c7-9cbf-6f4447379727,9e11456c-f0f6-48c7-9cbf-6f4447379727
06db4a5e-fb47-4298-809c-12e75dbb7200,67ef48a7-3430-4c29-873e-75cee189c472,0db26a65-855d-4144-9675-529bd899b84b,61703f25-0098-4ed7-bc9f-e8f65e8953f8,OFFERED,2024-06-10 12:17:45,2024-06-10 12:23:59,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
07b6329f-5f26-4f1b-9102-033fa7ef1e04,8d250d37-5fe6-4b9c-b0cd-10fc41594c05,57457c90-328a-42ec-988c-999a49d0f83a,c8367fc3-d459-4b83-b48b-37521e6d4795,INTERVIEWING,2023-12-13 11:16:28,2023-12-13 11:16:28,c8367fc3-d459-4b83-b48b-37521e6d4795,c8367fc3-d459-4b83-b48b-37521e6d4795
085e51d4-2d46-4782-b31e-ebda831458f6,555046bf-2b6d-4d66-b63c-4e99351ccc71,00a19bb0-189c-442e-afee-3eef3a97801c,c8367fc3-d459-4b83-b48b-37521e6d4795,UNSHORTLISTED,2023-08-04 12:07:15,2023-08-04 12:07:15,c8367fc3-d459-4b83-b48b-37521e6d4795,c8367fc3-d459-4b83-b48b-37521e6d4795
089810b9-941e-49ac-8700-0d88327cfe2b,54fea194-4220-40ff-83dd-00c5a946dc25,56515048-7cab-4b45-a8b3-dfd627d5d2fb,54fea194-4220-40ff-83dd-00c5a946dc25,OFFERED,2023-11-08 06:01:36,2023-11-23 11:19:02,54fea194-4220-40ff-83dd-00c5a946dc25,54fea194-4220-40ff-83dd-00c5a946dc25
0a217368-9b54-4ef2-9517-899ef3a257bb,cdcebaae-d840-4378-9f18-ea917e497677,9f00d257-02d2-40f7-8258-224a8de70e8a,cdcebaae-d840-4378-9f18-ea917e497677,TERMINATED,2023-11-07 11:17:11,2023-11-07 11:18:42,cdcebaae-d840-4378-9f18-ea917e497677,cdcebaae-d840-4378-9f18-ea917e497677
0b42d50b-95e0-4e2b-a820-e746437a8042,fed17344-8cb5-4205-abc4-f2166102d99a,6e109b5c-e627-4a02-84ec-557511b43412,c8367fc3-d459-4b83-b48b-37521e6d4795,INTERVIEWING,2024-04-18 11:26:56,2024-04-18 12:03:11,c8367fc3-d459-4b83-b48b-37521e6d4795,c8367fc3-d459-4b83-b48b-37521e6d4795
0b7019a0-44a9-4699-a439-512d9e3c5f4f,9ef631ff-82ef-4021-a289-e88a4ecd2034,bf38f173-c63d-451d-81cf-59aef81d4a3e,c8367fc3-d459-4b83-b48b-37521e6d4795,SHORTLISTED,2025-04-17 03:45:09,2025-04-17 03:45:16,c8367fc3-d459-4b83-b48b-37521e6d4795,c8367fc3-d459-4b83-b48b-37521e6d4795
0c566439-29e0-4ded-9d97-8eb9cd1632fe,9e11456c-f0f6-48c7-9cbf-6f4447379727,3ebfb2b7-4f20-4d24-9e33-2f60301399d5,9e11456c-f0f6-48c7-9cbf-6f4447379727,COMPLETED,2024-01-29 03:52:34,2024-01-29 09:40:08,9e11456c-f0f6-48c7-9cbf-6f4447379727,9e11456c-f0f6-48c7-9cbf-6f4447379727
0cf0722a-c1a2-4062-bd0a-7e1419ff9205,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,51fd02b4-bdd1-4e60-bb97-e35ea75a2cf2,61703f25-0098-4ed7-bc9f-e8f65e8953f8,HIRED,2024-06-19 05:57:47,2024-06-19 05:59:48,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
0d874829-1273-4b55-9a8c-9de3b6a0b361,9e11456c-f0f6-48c7-9cbf-6f4447379727,b8afc6b4-341a-49d8-8da8-4df74b8f7a28,9e11456c-f0f6-48c7-9cbf-6f4447379727,HIRED,2024-08-21 11:03:23,2024-08-21 11:04:11,9e11456c-f0f6-48c7-9cbf-6f4447379727,9e11456c-f0f6-48c7-9cbf-6f4447379727
0f127cc8-c04b-4d72-8b62-3bbed7e2c8dd,44915c19-af43-4341-a5d6-c8dda2695585,019e283f-1f41-49c9-b4da-b902aaca8ef0,90dfd38a-26c0-4af5-9b00-72e614d11753,INTERVIEWING,2023-08-07 10:09:17,2024-04-12 12:17:39,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
0f674a50-b7e2-4ff4-afda-db54ec7f92d2,ea8d9856-029d-4071-8305-def44004aca8,c323a2d7-481a-4436-9187-ea831f4106e4,ea8d9856-029d-4071-8305-def44004aca8,INTERVIEWING,2024-08-16 09:50:19,2024-08-21 06:25:38,ea8d9856-029d-4071-8305-def44004aca8,ea8d9856-029d-4071-8305-def44004aca8
0f924234-7e7a-41cc-95bd-ce872e13bf39,1ec5afe3-043f-45dd-8f4c-7a84d55db398,cda6e278-cd10-4c67-9e0b-92918d96ea4e,1ec5afe3-043f-45dd-8f4c-7a84d55db398,COMPLETED,2024-02-16 07:13:29,2024-02-16 08:45:13,1ec5afe3-043f-45dd-8f4c-7a84d55db398,1ec5afe3-043f-45dd-8f4c-7a84d55db398
10ef9f71-bd22-4389-a964-bfe3af283202,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,56d3bcee-913b-4a0f-a0f3-b0a9626b24cb,61703f25-0098-4ed7-bc9f-e8f65e8953f8,INTERVIEWING,2024-07-05 09:58:26,2024-07-05 09:59:07,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
1255761b-ace8-40f0-966a-a51508f20b0b,a67a5cbd-c05f-40d6-b194-acad31f5ee97,1a277d28-1af0-47fa-bb31-daab43bff839,a67a5cbd-c05f-40d6-b194-acad31f5ee97,OFFER_APPROVED,2024-07-10 06:02:10,2024-07-10 06:02:34,a67a5cbd-c05f-40d6-b194-acad31f5ee97,a67a5cbd-c05f-40d6-b194-acad31f5ee97
