id,created_by,created_date,updated_by,updated_date,approved_date,cost,requested_date,status,client_id,jobsite_id,payment_milestone_id,payment_milestone_bid_id,project_detail_id,subcontractor_id
0a7f01d5-facf-4f5f-90d2-10d6234363b3,NULL,2025-05-06 04:11:59,NULL,2025-05-06 04:11:59,NULL,684.2,NULL,NOT_SUBMITTED,c0f385bf-790f-431d-8dc4-1bf83ba3a392,38517562-0282-47e0-ac50-f005018f4fea,75150d3c-eb1f-4d79-b016-519489afe199,3641aefa-563a-4c72-92e0-6f0793ee0f4f,e9139b84-65a8-461f-bb88-e64e0b85dc12,6fdfa82e-6825-4658-a162-a518011bffd8
0b6c1ef6-fdca-4e0a-bef9-575b90721cb0,NULL,2024-07-04 10:19:12,NULL,2024-07-05 04:17:19,2024-07-05 04:17:19,110,2024-07-05 04:16:52,APPROVED,b91189e3-47b3-44b1-a685-0252e97c7d1c,26bf918c-fb85-4c0f-af3e-44915b379d63,ef94bba4-f8b0-4420-a041-278c55987c40,NULL,48188337-3dbd-4b53-b786-1b9d26b71ae9,8e9967a6-5915-45d4-a25e-11b1876d18df
0b6df1c7-00cd-4b7f-bb14-474af4fc8c92,NULL,2024-07-05 11:32:52,NULL,2024-07-05 11:32:52,NULL,100,NULL,NOT_SUBMITTED,b91189e3-47b3-44b1-a685-0252e97c7d1c,93a5fc6b-ad17-4ab0-ab98-7648351fe2f8,bffa77d7-7050-448d-bade-93bfb2f422b6,e03fd280-c7ea-4d60-9142-6a5cb0540a36,135ae071-825b-4867-823e-a012d93dcaf0,8e9967a6-5915-45d4-a25e-11b1876d18df
0b76f7f7-af45-4afa-8701-4ed8be5462ef,NULL,2024-02-05 10:04:22,NULL,2024-02-05 10:04:22,NULL,6500,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,4311a093-1718-4d39-9e90-979bd2850408,539ef6cd-cb9d-41c9-8911-e99928167d23,29747e8e-61d1-490e-a4e2-02c267ad5445,39f1993e-ddbd-4dd4-a950-5916577d6b95,c1e99329-85c4-457f-9e56-40760d57aff5
0b78a66c-9604-4667-8a33-510967def145,NULL,2024-07-08 12:26:53,NULL,2024-07-08 12:26:53,NULL,76.5,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,da57dc8d-5047-4897-a804-28617ceab04e,4bf4995e-c845-4ea0-a371-d5a7b25ee042,de51ee0b-a6d1-4349-80cf-15865b374bf7,8d4c26aa-e787-48f6-8e43-808133eac091,73c35bda-c637-4513-a758-b9491df12540
0b8aba3d-8a27-4d1c-b412-712f9085c8cd,NULL,2024-04-16 06:26:27,NULL,2024-04-16 06:26:27,NULL,100,NULL,NOT_SUBMITTED,3f8eb79e-f046-4317-adee-7b916a3ee09e,f6350bc7-7509-4703-86f6-38bd06970ad7,c0d0c20b-a184-49bc-97fc-285efb0aa391,de2a1c8e-fb75-482f-adf2-2c3064cf4121,df575746-9eea-4781-93f7-84bf753330ff,73c35bda-c637-4513-a758-b9491df12540
0bd5e576-cebc-46d2-bd35-148a7f8a00a5,NULL,2024-07-18 06:00:38,NULL,2024-08-22 09:22:23,NULL,11,2024-08-22 09:22:23,REQUESTED,c8367fc3-d459-4b83-b48b-37521e6d4795,50ff6a72-41fc-4eab-8586-d20191f01dd9,de936af6-8900-4eb8-8cd4-7dbb3a898703,7e29e51f-5ba8-4350-956c-e6c420a5db47,9cd71b7c-ffd0-42ab-b2d1-ba888171e78a,8e9967a6-5915-45d4-a25e-11b1876d18df
0c460bb2-97ed-4c2e-a960-65ab0d53f358,NULL,2024-04-18 09:29:37,NULL,2024-04-18 09:29:37,NULL,6000,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,3692cdc3-8abe-4efe-ad97-62ae1d563709,9dbd2e36-6078-40b9-8539-e0cec12d7550,172a8487-5d3f-41a1-8402-8c73c2aa9c6c,a2f9edf4-df43-4ab4-8105-e476bcae111f,c1e99329-85c4-457f-9e56-40760d57aff5
0ca08ecb-4ca9-4e6e-a9e0-041039d1817c,NULL,2024-07-03 12:09:25,NULL,2024-07-03 12:09:25,NULL,663,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,3b1215d9-deac-4acf-879b-e26c39e7d3b5,beabd0a2-9712-4f93-a6eb-1296f9524695,52c9e8c4-5a6e-4032-a195-2e3aaf8994e2,6cbf7054-9032-47ad-ad64-101f47664211,a3d2b1e9-d64f-46b7-85f5-af83442a5547
0cc3fc36-438d-4a37-863a-51390544a6dc,NULL,2024-02-01 10:54:17,NULL,2024-03-18 12:03:26,NULL,65.31967213114754,2024-03-18 12:03:26,REQUESTED,c8367fc3-d459-4b83-b48b-37521e6d4795,d700e9df-4430-451b-bb7f-ee44a8ba47a8,a3cb9c6a-81ac-4f7c-8603-9a27fefa0b92,NULL,f7e09a53-c991-4eea-b00a-5e8f2cf6d589,c1e99329-85c4-457f-9e56-40760d57aff5
