id,created_by,created_date,updated_by,updated_date,can_modify,can_view,menu_name,user_id
4c28006a-8737-40e2-8934-f85c21c9bc12,NULL,2024-06-24 07:30:41,NULL,2024-06-24 07:30:41,_binary '0',_binary '0',Reports,d0e4c624-89d2-4ead-87a4-6d4ddca45a3b
4d6e2675-ef50-4c62-a187-af7fc731d19e,NULL,2023-07-28 06:47:42,NULL,2023-07-28 06:47:42,_binary '',_binary '',Workers,18c191bf-3acf-42b7-a6f9-269d629dd762
4e528563-8769-4c9b-849e-496e53a24610,NULL,2023-06-12 11:58:26,NULL,2023-06-12 11:58:26,_binary '0',_binary '0',Masters,45955559-4ee8-4096-8b48-b137613f9800
4ff519b4-0047-48bf-babb-c56e927b4b41,NULL,NULL,NULL,2023-07-12 05:21:15,_binary '',_binary '',Workers,693da701-ca1a-4996-9e8b-2706c2daaba9
5002867e-379d-4407-9da3-9c458f99d850,NULL,NULL,NULL,2024-08-08 10:55:45,_binary '0',_binary '',Workers,311f6d91-80b0-408f-9bae-74e2b18a73b5
523f5b0b-8641-48a7-8846-d7fdccf7622c,NULL,NULL,NULL,2024-08-08 10:55:45,_binary '',_binary '',Subcontractors,311f6d91-80b0-408f-9bae-74e2b18a73b5
52b18e2d-065f-4d55-b03d-988e327d5883,NULL,2023-06-12 11:58:26,NULL,2023-06-12 11:58:26,_binary '0',_binary '0',Jobs,45955559-4ee8-4096-8b48-b137613f9800
550cd363-9d21-48a2-aa9d-29eef5198045,NULL,NULL,NULL,2023-07-12 05:21:02,_binary '',_binary '',Clients,271ea8c5-b2c1-4f68-9ba6-fa1859a37070
5511c140-d022-4afb-91b2-9bce1f7b262c,NULL,NULL,NULL,2023-07-12 05:21:19,_binary '',_binary '',Workers,803a0cc8-6b59-46d9-92c5-f350c339ddd5
55bcc442-9d9c-43c8-bbe4-1738451138ca,NULL,2024-06-28 06:03:13,NULL,2024-06-28 06:03:13,_binary '0',_binary '0',Masters,75139b0b-96c7-41e1-ac8d-803df118a32a
5c50b25d-2fef-43c6-b63c-4720f951f660,NULL,2023-07-12 13:28:35,NULL,2023-07-12 13:28:35,_binary '0',_binary '0',Clients,cdbdeea2-8c89-4240-8936-23c0d8dd98e2
5c77c3ac-c0bb-4f67-8eb9-d0063dc51819,NULL,NULL,NULL,2024-07-08 06:40:33,_binary '0',_binary '',Jobs,c12ae087-09e6-4f55-b003-36936118dc09
5cf52aa1-9f3e-4722-b275-94b1558f1bff,NULL,2024-06-28 06:03:12,NULL,2024-06-28 06:03:12,_binary '0',_binary '',Clients,75139b0b-96c7-41e1-ac8d-803df118a32a
5e939c0d-eea1-41c3-8ad3-e690cb746b80,NULL,NULL,NULL,2023-07-12 05:21:22,_binary '0',_binary '0',Masters,456fd968-7d31-4963-ad9c-2eec376720cf
5f8c07f7-56f3-4d20-a13d-19b00a129fa2,NULL,NULL,NULL,2023-07-12 05:21:15,_binary '',_binary '',Projects,693da701-ca1a-4996-9e8b-2706c2daaba9
5fe3f359-f68c-4e61-8b43-a7905285f8af,NULL,NULL,NULL,2024-08-08 10:55:45,_binary '0',_binary '0',Reports,311f6d91-80b0-408f-9bae-74e2b18a73b5
6070ce2f-f941-4a9a-bb31-ba2c04726770,NULL,NULL,01,2024-06-24 07:30:54,_binary '0',_binary '0',Masters,90dfd38a-26c0-4af5-9b00-72e614d11753
61f62d4c-98cc-4963-8492-af9dc62df278,NULL,NULL,NULL,2023-09-13 06:15:45,_binary '0',_binary '',Clients,33eb3c34-6e0c-4d44-aa95-6fad80620230
61fe0f96-0330-4e7e-8911-329327687915,NULL,2023-06-12 11:58:26,NULL,2023-06-12 11:58:26,_binary '0',_binary '0',Workers,45955559-4ee8-4096-8b48-b137613f9800
624cb241-0f68-47b5-af6d-ca59b314d366,NULL,2023-07-12 13:28:35,NULL,2023-07-12 13:28:35,_binary '0',_binary '0',Masters,cdbdeea2-8c89-4240-8936-23c0d8dd98e2
63af8f6a-94d2-4cef-b610-73cc10346051,NULL,NULL,NULL,2023-08-21 06:40:27,_binary '0',_binary '',Projects,387fdf0c-e871-4984-8cb8-1e98a591b349
64f92bfc-e9cf-41cf-ac45-ede3aa9e7cc0,NULL,2023-09-13 07:38:21,NULL,2023-09-13 07:38:21,_binary '0',_binary '',Jobs,da26e2f2-65bf-4e5a-8f2f-66911eae495b
65cbf459-e255-479c-9b47-ef009758a9f1,NULL,2023-07-12 13:33:22,NULL,2023-07-12 13:33:22,_binary '0',_binary '0',Masters,ce228da4-d4b2-44df-a609-a523175b9ecc
6a24e9f9-c9b9-47d8-9b5f-05ae84d7c9e5,NULL,2023-09-13 07:38:19,NULL,2023-09-13 07:38:19,_binary '0',_binary '',Subcontractors,da26e2f2-65bf-4e5a-8f2f-66911eae495b
6a3d187d-e8b1-424d-8f94-769cae218a31,NULL,NULL,NULL,2023-09-13 06:15:46,_binary '0',_binary '',Projects,33eb3c34-6e0c-4d44-aa95-6fad80620230
6beb4298-4874-46e7-a969-507575123578,NULL,2023-07-12 13:33:22,NULL,2023-07-12 13:33:22,_binary '0',_binary '',Jobs,ce228da4-d4b2-44df-a609-a523175b9ecc
70dddf26-f23f-480d-9faf-24acf20c30d8,NULL,2024-06-24 07:30:41,NULL,2024-06-24 07:30:41,_binary '',_binary '',Workers,d0e4c624-89d2-4ead-87a4-6d4ddca45a3b
7197b7fe-a133-4385-9d16-d7bd3b0a4f02,NULL,NULL,NULL,2023-07-12 05:21:19,_binary '0',_binary '0',Masters,803a0cc8-6b59-46d9-92c5-f350c339ddd5
757a7104-41e4-4faa-8f57-d085cef5765e,NULL,2023-06-12 11:58:26,NULL,2023-06-12 11:58:26,_binary '0',_binary '0',Subcontractors,45955559-4ee8-4096-8b48-b137613f9800
759988a5-07c9-4de0-9f97-a2f7fcb89f77,NULL,NULL,NULL,2023-07-12 05:21:11,_binary '',_binary '',Subcontractors,9593f6fb-e6ff-41a1-8bee-80782cb03fe2
759f379a-31db-4bf3-9989-39f9481285b9,NULL,2023-09-13 07:38:21,NULL,2023-09-13 07:38:21,_binary '0',_binary '0',Reports,da26e2f2-65bf-4e5a-8f2f-66911eae495b
7c5f7a01-8354-454c-ab45-adfa9364af56,NULL,NULL,NULL,2023-09-13 06:15:45,_binary '0',_binary '',Subcontractors,33eb3c34-6e0c-4d44-aa95-6fad80620230
7c6e2f1e-e784-47b0-8ab1-a42bca89a249,NULL,NULL,NULL,2024-08-08 10:55:45,_binary '0',_binary '0',Jobs,311f6d91-80b0-408f-9bae-74e2b18a73b5
7ef6316f-a01e-475b-adeb-93942dfff8eb,NULL,NULL,01,2024-06-24 07:30:54,_binary '0',_binary '',Clients,90dfd38a-26c0-4af5-9b00-72e614d11753
804c1444-a95d-441a-a9d4-ee9edae00c4a,NULL,2024-06-24 07:30:41,NULL,2024-06-24 07:30:41,_binary '0',_binary '',Projects,d0e4c624-89d2-4ead-87a4-6d4ddca45a3b
8692d6ee-b202-4b07-8790-aecaba86b452,NULL,NULL,NULL,2023-07-12 05:21:02,_binary '',_binary '',Projects,271ea8c5-b2c1-4f68-9ba6-fa1859a37070
875ce6a3-1d65-4f11-965a-4cf8665b1e73,NULL,NULL,NULL,2023-07-12 05:21:15,_binary '0',_binary '0',Reports,693da701-ca1a-4996-9e8b-2706c2daaba9
8d8ccf79-cae0-4c57-9654-50f6bfe75b2a,NULL,2024-07-05 13:11:18,01,2024-07-05 13:33:11,_binary '0',_binary '',Projects,c97699af-67a5-4e1b-b7c9-d3161763475e
